timeStep;prevStat;prevAct;prevArg;obtRewd;oldQVal;newQVal;randAct
221;MocafeStateMocafeState<-35194, 17605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-623109770.0;0.0;-124621954.0;true
222;MocafeStateMocafeState<-35394, 17705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-630190170.0;0.0;-126038034.0;true
223;MocafeStateMocafeState<-35594, 17805.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-630191770.0;0.0;-126038354.0;false
224;MocafeStateMocafeState<-35394, 17705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-630190170.0;0.0;-126038034.0;true
225;MocafeStateMocafeState<-35594, 17805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-637310570.0;0.0;-127462114.0;true
226;MocafeStateMocafeState<-35794, 17905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-644470970.0;0.0;-128894194.0;true
227;MocafeStateMocafeState<-35994, 18005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-651671370.0;0.0;-130334274.0;true
228;MocafeStateMocafeState<-36194, 18105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-658911770.0;0.0;-131782354.0;true
229;MocafeStateMocafeState<-36394, 18205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-666192170.0;0.0;-133238434.0;true
230;MocafeStateMocafeState<-36594, 18305.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-666193770.0;0.0;-133238754.0;false
231;MocafeStateMocafeState<-36394, 18205.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-658913370.0;0.0;-131782674.0;false
232;MocafeStateMocafeState<-36194, 18105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-658911770.0;0.0;-131782354.0;true
233;MocafeStateMocafeState<-36394, 18205.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-662552770.0;0.0;-132510554.0;false
234;MocafeStateMocafeState<-36394, 18205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-666192170.0;0.0;-133238434.0;true
235;MocafeStateMocafeState<-36594, 18305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-673512570.0;0.0;-134702514.0;true
236;MocafeStateMocafeState<-36794, 18405.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-673514170.0;0.0;-134702834.0;false
237;MocafeStateMocafeState<-36594, 18305.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-669853170.0;0.0;-133970634.0;false
238;MocafeStateMocafeState<-36594, 18305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-673512570.0;0.0;-134702514.0;true
239;MocafeStateMocafeState<-36794, 18405.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-677193570.0;0.0;-135438714.0;false
240;MocafeStateMocafeState<-36794, 18405.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-677193570.0;0.0;-135438714.0;false
241;MocafeStateMocafeState<-36794, 18405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-680872970.0;0.0;-136174594.0;true
242;MocafeStateMocafeState<-36994, 18505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-688273370.0;0.0;-137654674.0;true
243;MocafeStateMocafeState<-37194, 18605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-695713770.0;0.0;-139142754.0;true
244;MocafeStateMocafeState<-37394, 18705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-703194170.0;0.0;-140638834.0;true
245;MocafeStateMocafeState<-37594, 18805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-710714570.0;0.0;-142142914.0;true
246;MocafeStateMocafeState<-37794, 18905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-718274970.0;0.0;-143654994.0;true
247;MocafeStateMocafeState<-37994, 19005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-725875370.0;0.0;-145175074.0;true
248;MocafeStateMocafeState<-38194, 19105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-733515770.0;0.0;-146703154.0;true
249;MocafeStateMocafeState<-38394, 19205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-741196170.0;0.0;-148239234.0;true
250;MocafeStateMocafeState<-38594, 19305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-748916570.0;0.0;-149783314.0;true
251;MocafeStateMocafeState<-38794, 19405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-756676970.0;0.0;-151335394.0;true
252;MocafeStateMocafeState<-38994, 19505.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-760577970.0;0.0;-152115594.0;false
253;MocafeStateMocafeState<-38994, 19505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-764477370.0;0.0;-152895474.0;true
254;MocafeStateMocafeState<-39194, 19605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-772317770.0;0.0;-154463554.0;true
255;MocafeStateMocafeState<-39394, 19705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-780198170.0;0.0;-156039634.0;true
256;MocafeStateMocafeState<-39594, 19805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-788118570.0;0.0;-157623714.0;true
257;MocafeStateMocafeState<-39794, 19905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-796078970.0;0.0;-159215794.0;true
258;MocafeStateMocafeState<-39994, 20005.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-796080570.0;0.0;-159216114.0;false
259;MocafeStateMocafeState<-39794, 19905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-796078970.0;0.0;-159215794.0;true
260;MocafeStateMocafeState<-39994, 20005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-804079370.0;0.0;-160815874.0;true
261;MocafeStateMocafeState<-40194, 20105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-812119770.0;0.0;-162423954.0;true
262;MocafeStateMocafeState<-40394, 20205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-820200170.0;0.0;-164040034.0;true
263;MocafeStateMocafeState<-40594, 20305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-828320570.0;0.0;-165664114.0;true
264;MocafeStateMocafeState<-40794, 20405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-836480970.0;0.0;-167296194.0;true
265;MocafeStateMocafeState<-40994, 20505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-844681370.0;0.0;-168936274.0;true
266;MocafeStateMocafeState<-41194, 20605.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-844682970.0;0.0;-168936594.0;false
267;MocafeStateMocafeState<-40994, 20505.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-836482570.0;0.0;-167296514.0;false
268;MocafeStateMocafeState<-40794, 20405.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-828322170.0;0.0;-165664434.0;false
269;MocafeStateMocafeState<-40594, 20305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-828320570.0;0.0;-165664114.0;true
270;MocafeStateMocafeState<-40794, 20405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-836480970.0;0.0;-167296194.0;true
271;MocafeStateMocafeState<-40994, 20505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-844681370.0;0.0;-168936274.0;true
272;MocafeStateMocafeState<-41194, 20605.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-844682970.0;0.0;-168936594.0;false
273;MocafeStateMocafeState<-40994, 20505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-844681370.0;0.0;-168936274.0;true
274;MocafeStateMocafeState<-41194, 20605.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-848802370.0;0.0;-169760474.0;false
275;MocafeStateMocafeState<-41194, 20605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-852921770.0;0.0;-170584354.0;true
276;MocafeStateMocafeState<-41394, 20705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-861202170.0;0.0;-172240434.0;true
277;MocafeStateMocafeState<-41594, 20805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-869522570.0;0.0;-173904514.0;true
278;MocafeStateMocafeState<-41794, 20905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-877882970.0;0.0;-175576594.0;true
279;MocafeStateMocafeState<-41994, 21005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-886283370.0;0.0;-177256674.0;true
280;MocafeStateMocafeState<-42194, 21105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-894723770.0;0.0;-178944754.0;true
281;MocafeStateMocafeState<-42394, 21205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-903204170.0;0.0;-180640834.0;true
282;MocafeStateMocafeState<-42594, 21305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-911724570.0;0.0;-182344914.0;true
